,Links in homepage,Unigrams,Bigrams,Trigrams,Page titles,Meta tags,All internal links,All external links
17,https://www.exeterpremedia.com/wp-content/uploads/2019/06/british-institute-of-radiology.webp,left0,left0 zindex999,left0 zindex999 position,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/business-expert-press.webp,https://www.linkedin.com/feed/hashtag/?keywords=%23Epublishing
18,https://www.exeterpremedia.com/wp-content/uploads/2019/06/bsi-group.webp,zindex999,zindex999 position,zindex999 position fixed,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/cabi.webp,https://www.linkedin.com/feed/hashtag/?keywords=%23DigitalSolution
19,https://www.exeterpremedia.com/wp-content/uploads/2019/06/business-expert-press.webp,position,position fixed,position fixed height100,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/elife-science-publications-ltd.webp,https://www.linkedin.com/feed/hashtag/?keywords=%23AcademicPublishing
20,https://www.exeterpremedia.com/wp-content/uploads/2019/06/cabi.webp,fixed,fixed height100,fixed height100 width100,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/john-benjamins-publishing-company.webp,https://www.linkedin.com/feed/hashtag/?keywords=%23ScholarlyPublishing
21,https://www.exeterpremedia.com/wp-content/uploads/2019/06/elife-science-publications-ltd.webp,height100,height100 width100,height100 width100 textalign,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/journal-of-royal-medical-service.webp,https://www.linkedin.com/feed/hashtag/?keywords=%23Books
22,https://www.exeterpremedia.com/wp-content/uploads/2019/06/john-benjamins-publishing-company.webp,width100,width100 textalign,width100 textalign center,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/microbiology-society.webp,https://www.linkedin.com/feed/hashtag/?keywords=%23Journals
23,https://www.exeterpremedia.com/wp-content/uploads/2019/06/journal-of-royal-medical-service.webp,textalign,textalign center,textalign center preloaderpreviewarea,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/momentum-press.webp,https://www.linkedin.com/feed/hashtag/?keywords=%23PublishingServices
24,https://www.exeterpremedia.com/wp-content/uploads/2019/06/microbiology-society.webp,center,center preloaderpreviewarea,center preloaderpreviewarea webkitanimationdelay,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/paths-international.webp,https://www.linkedin.com/feed/hashtag/?keywords=%23AutomationPlatform
25,https://www.exeterpremedia.com/wp-content/uploads/2019/06/momentum-press.webp,preloaderpreviewarea,preloaderpreviewarea webkitanimationdelay,preloaderpreviewarea webkitanimationdelay 2s,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/rosen-publishing.webp,https://www.linkedin.com/feed/hashtag/?keywords=%23Fbf19
26,https://www.exeterpremedia.com/wp-content/uploads/2019/06/paths-international.webp,webkitanimationdelay,webkitanimationdelay 2s,webkitanimationdelay 2s animationdelay,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/royal-college-of-surgeons.webp,https://www.linkedin.com/feed/hashtag/?keywords=%23Markup
27,https://www.exeterpremedia.com/wp-content/uploads/2019/06/rosen-publishing.webp,2s,2s animationdelay,2s animationdelay 2s,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/royal-college-of-general-practitioners.webp,https://www.linkedin.com/feed/hashtag/?keywords=%23MarkupUK2019
28,https://www.exeterpremedia.com/wp-content/uploads/2019/06/royal-college-of-surgeons.webp,animationdelay,animationdelay 2s,animationdelay 2s top50,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/sage-publishing.webp,https://www.linkedin.com/in/ravi-venkataramani-8558534/
29,https://www.exeterpremedia.com/wp-content/uploads/2019/06/royal-college-of-general-practitioners.webp,2s,2s top50,2s top50 webkittransform,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/springer-publishing-company.webp,https://www.linkedin.com/company/markup-uk/
30,https://www.exeterpremedia.com/wp-content/uploads/2019/06/sage-publishing.webp,top50,top50 webkittransform,top50 webkittransform translatey,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/stylus-publishing-llc.webp,https://www.linkedin.com/company/2081042/admin/
31,https://www.exeterpremedia.com/wp-content/uploads/2019/06/springer-publishing-company.webp,webkittransform,webkittransform translatey,webkittransform translatey 100,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/summer-game-books.webp,https://www.linkedin.com/company/exeter-premedia-services
32,https://www.exeterpremedia.com/wp-content/uploads/2019/06/stylus-publishing-llc.webp,translateY,translatey 100,translatey 100 mstransform,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/taylor-and-francis.webp,https://www.facebook.com/exeterpremediaservices
33,https://www.exeterpremedia.com/wp-content/uploads/2019/06/summer-game-books.webp,100,100 mstransform,100 mstransform translatey,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/the-british-editorial-society-of-bone-joint-surgery.webp,https://www.instagram.com/exeterpremedia/
34,https://www.exeterpremedia.com/wp-content/uploads/2019/06/taylor-and-francis.webp,mstransform,mstransform translatey,mstransform translatey 100,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/the-british-small-animal-veterinary-association.webp,
35,https://www.exeterpremedia.com/wp-content/uploads/2019/06/the-british-editorial-society-of-bone-joint-surgery.webp,translateY,translatey 100,translatey 100 transform,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/wit-press.webp,
36,https://www.exeterpremedia.com/wp-content/uploads/2019/06/the-british-small-animal-veterinary-association.webp,100,100 transform,100 transform translatey,,,https://www.exeterpremedia.com/wp-content/uploads/2019/06/walter-de-gruyter-gmbh-co.-kg.webp,
37,https://www.exeterpremedia.com/wp-content/uploads/2019/06/wit-press.webp,transform,transform translatey,transform translatey 100,<title>Client - Exeter</title>,"<meta charset=""utf-8""/>",https://www.exeterpremedia.com/client/,
38,https://www.exeterpremedia.com/wp-content/uploads/2019/06/walter-de-gruyter-gmbh-co.-kg.webp,translateY,translatey 100,translatey 100 margintop10px,<title>Making collaboration work - Exeter</title>,"<meta charset=""utf-8""/>",https://www.exeterpremedia.com/making-collaboration-work/,
39,https://www.exeterpremedia.com/client/,100,100 margintop10px,100 margintop10px maxheight,<title>February 2019 - Exeter</title>,"<meta charset=""utf-8""/>",https://www.exeterpremedia.com/2019/02/,
40,http://twitter.com//statuses/,margintop10px,margintop10px maxheight,margintop10px maxheight calc,<title>Why do I need another ID? - Exeter</title>,"<meta charset=""utf-8""/>",https://www.exeterpremedia.com/why-do-i-need-another-id/,
41,https://twitter.com/Exeter_Premedia,maxheight,maxheight calc,maxheight calc 50,<title>April 2018 - Exeter</title>,"<meta charset=""utf-8""/>",https://www.exeterpremedia.com/2018/04/,
42,https://www.exeterpremedia.com/making-collaboration-work/,calc,calc 50,calc 50 20px,<title>The Death of the PDF? - Exeter</title>,"<meta charset=""utf-8""/>",https://www.exeterpremedia.com/the-death-of-the-pdf/,
43,https://www.exeterpremedia.com/2019/02/,50,50 20px,50 20px opacity1,<title>February 2018 - Exeter</title>,"<meta charset=""utf-8""/>",https://www.exeterpremedia.com/2018/02/,
44,https://www.exeterpremedia.com/why-do-i-need-another-id/,20px,20px opacity1,20px opacity1 width100,<title>Exeter - Happy Authors and Delighted Publishers</title>,"<meta charset=""utf-8""/>",https://www.exeterpremedia.com,
45,https://www.exeterpremedia.com/2018/04/,opacity1,opacity1 width100,opacity1 width100 textalign,<title>Exeter - Privacy Policy - Exeter</title>,"<meta charset=""utf-8""/>",https://www.exeterpremedia.com/exeter-privacy-policy/,
46,https://www.exeterpremedia.com/the-death-of-the-pdf/,width100,width100 textalign,width100 textalign center,<title>Terms and Conditions - Exeter</title>,"<meta charset=""utf-8""/>",https://www.exeterpremedia.com/terms-and-conditions/,
47,https://www.exeterpremedia.com/2018/02/,textalign,textalign center,textalign center position,,,,
48,https://www.linkedin.com/in/parivalavan-manoharan/,center,center position,center position absolute,,,,
49,https://www.linkedin.com/in/jaishankarn/,position,position absolute,position absolute preloaderlogo,,,,
50,https://www.linkedin.com/in/augustine-k/,absolute,absolute preloaderlogo,absolute preloaderlogo maxwidth90,,,,
51,https://www.linkedin.com/feed/hashtag/?keywords=%23ExeterPremedia,preloaderlogo,preloaderlogo maxwidth90,preloaderlogo maxwidth90 top50,,,,
52,https://www.linkedin.com/feed/hashtag/?keywords=%23Exeter,maxwidth90,maxwidth90 top50,maxwidth90 top50 webkittransform,,,,
53,https://www.linkedin.com/feed/hashtag/?keywords=%23Kriya,top50,top50 webkittransform,top50 webkittransform translatey,,,,
54,https://www.linkedin.com/feed/hashtag/?keywords=%23HappyAuthors,webkittransform,webkittransform translatey,webkittransform translatey 100,,,,
55,https://www.linkedin.com/feed/hashtag/?keywords=%23SVCE,translateY,translatey 100,translatey 100 mstransform,,,,
56,https://www.linkedin.com/feed/hashtag/?keywords=%23YetAnotherHackathon,100,100 mstransform,100 mstransform translatey,,,,
57,https://www.linkedin.com/feed/hashtag/?keywords=%23YAH,mstransform,mstransform translatey,mstransform translatey 100,,,,
58,https://www.linkedin.com/feed/hashtag/?keywords=%23Acmsvce,translateY,translatey 100,translatey 100 transform,,,,
59,https://www.linkedin.com/feed/hashtag/?keywords=%23FrankfurtBookFair2019,100,100 transform,100 transform translatey,,,,
60,"https://www.linkedin.com/feed/hashtag/?keywords=%23CloudPublishing""""",transform,transform translatey,transform translatey 100,,,,
61,https://www.linkedin.com/feed/hashtag/?keywords=%23Epublishing,translateY,translatey 100,translatey 100 margin,,,,
62,https://www.linkedin.com/feed/hashtag/?keywords=%23DigitalSolution,100,100 margin,100 margin 10px,,,,
63,https://www.linkedin.com/feed/hashtag/?keywords=%23AcademicPublishing,margin,margin 10px,margin 10px auto,,,,
64,https://www.linkedin.com/feed/hashtag/?keywords=%23ScholarlyPublishing,10px,10px auto,10px auto 0,,,,
65,https://www.linkedin.com/feed/hashtag/?keywords=%23Books,auto,auto 0,auto 0 auto,,,,
66,https://www.linkedin.com/feed/hashtag/?keywords=%23Journals,0,0 auto,0 auto maxheight,,,,
67,https://www.linkedin.com/feed/hashtag/?keywords=%23PublishingServices,auto,auto maxheight,auto maxheight calc,,,,
68,https://www.linkedin.com/feed/hashtag/?keywords=%23AutomationPlatform,maxheight,maxheight calc,maxheight calc 50,,,,
69,https://www.linkedin.com/feed/hashtag/?keywords=%23Fbf19,calc,calc 50,calc 50 20px,,,,
70,https://www.linkedin.com/feed/hashtag/?keywords=%23Markup,50,50 20px,50 20px opacity1,,,,
71,https://www.linkedin.com/feed/hashtag/?keywords=%23MarkupUK2019,20px,20px opacity1,20px opacity1 position,,,,
72,https://www.linkedin.com/in/ravi-venkataramani-8558534/,opacity1,opacity1 position,opacity1 position relative,,,,
73,https://www.linkedin.com/company/markup-uk/,position,position relative,position relative ballpulse,,,,
74,https://www.linkedin.com/company/2081042/admin/,relative,relative ballpulse,relative ballpulse div,,,,
75,https://www.exeterpremedia.com,ballpulse,ballpulse div,ballpulse div width15px,,,,
76,https://www.exeterpremedia.com/exeter-privacy-policy/,div,div width15px,div width15px height15px,,,,
77,https://www.exeterpremedia.com/terms-and-conditions/,width15px,width15px height15px,width15px height15px borderradius100,,,,
78,https://www.linkedin.com/company/exeter-premedia-services,height15px,height15px borderradius100,height15px borderradius100 margin2px,,,,
79,https://www.facebook.com/exeterpremediaservices,borderradius100,borderradius100 margin2px,borderradius100 margin2px webkitanimationfillmode,,,,
80,https://www.instagram.com/exeterpremedia/,margin2px,margin2px webkitanimationfillmode,margin2px webkitanimationfillmode animationfillmode,,,,
81,,webkitanimationfillmode,webkitanimationfillmode animationfillmode,webkitanimationfillmode animationfillmode display,,,,
82,,animationfillmode,animationfillmode display,animationfillmode display inlineblock,,,,
83,,display,display inlineblock,display inlineblock webkitanimation,,,,
84,,inlineblock,inlineblock webkitanimation,inlineblock webkitanimation ballpulse,,,,
85,,webkitanimation,webkitanimation ballpulse,webkitanimation ballpulse 75s,,,,
86,,ballpulse,ballpulse 75s,ballpulse 75s infinite,,,,
87,,75s,75s infinite,75s infinite cubicbezier,,,,
88,,infinite,infinite cubicbezier,infinite cubicbezier 2,,,,
89,,cubicbezier,cubicbezier 2,cubicbezier 2 68,,,,
90,,2,2 68,2 68 18108,,,,
91,,68,68 18108,68 18108 animation,,,,
92,,18108,18108 animation,18108 animation ballpulse,,,,
93,,animation,animation ballpulse,animation ballpulse 75s,,,,
94,,ballpulse,ballpulse 75s,ballpulse 75s infinite,,,,
95,,75s,75s infinite,75s infinite cubicbezier,,,,
96,,infinite,infinite cubicbezier,infinite cubicbezier 2,,,,
97,,cubicbezier,cubicbezier 2,cubicbezier 2 68,,,,
98,,2,2 68,2 68 18108,,,,
99,,68,68 18108,68 18108 ballpulse,,,,
100,,18108,18108 ballpulse,18108 ballpulse div,,,,
101,,ballpulse,ballpulse div,ballpulse div nthchild,,,,
102,,div,div nthchild,div nthchild 1,,,,
103,,nthchild,nthchild 1,nthchild 1 webkitanimationdelay,,,,
104,,1,1 webkitanimationdelay,1 webkitanimationdelay 36s,,,,
105,,webkitanimationdelay,webkitanimationdelay 36s,webkitanimationdelay 36s animationdelay,,,,
106,,36s,36s animationdelay,36s animationdelay 36s,,,,
107,,animationdelay,animationdelay 36s,animationdelay 36s ballpulse,,,,
108,,36s,36s ballpulse,36s ballpulse div,,,,
109,,ballpulse,ballpulse div,ballpulse div nthchild,,,,
110,,div,div nthchild,div nthchild 2,,,,
111,,nthchild,nthchild 2,nthchild 2 webkitanimationdelay,,,,
112,,2,2 webkitanimationdelay,2 webkitanimationdelay 24s,,,,
113,,webkitanimationdelay,webkitanimationdelay 24s,webkitanimationdelay 24s animationdelay,,,,
114,,24s,24s animationdelay,24s animationdelay 24s,,,,
115,,animationdelay,animationdelay 24s,animationdelay 24s ballpulse,,,,
116,,24s,24s ballpulse,24s ballpulse div,,,,
117,,ballpulse,ballpulse div,ballpulse div nthchild,,,,
118,,div,div nthchild,div nthchild 3,,,,
119,,nthchild,nthchild 3,nthchild 3 webkitanimationdelay,,,,
120,,3,3 webkitanimationdelay,3 webkitanimationdelay 12s,,,,
121,,webkitanimationdelay,webkitanimationdelay 12s,webkitanimationdelay 12s animationdelay,,,,
122,,12s,12s animationdelay,12s animationdelay 12s,,,,
123,,animationdelay,animationdelay 12s,animationdelay 12s webkitkeyframes,,,,
124,,12s,12s webkitkeyframes,12s webkitkeyframes ballpulse,,,,
125,,webkitkeyframes,webkitkeyframes ballpulse,webkitkeyframes ballpulse 0,,,,
126,,ballpulse,ballpulse 0,ballpulse 0 webkittransform,,,,
127,,0,0 webkittransform,0 webkittransform scale,,,,
128,,webkittransform,webkittransform scale,webkittransform scale 1,,,,
129,,scale,scale 1,scale 1 transform,,,,
130,,1,1 transform,1 transform scale,,,,
131,,transform,transform scale,transform scale 1,,,,
132,,scale,scale 1,scale 1 opacity1,,,,
133,,1,1 opacity1,1 opacity1 45,,,,
134,,opacity1,opacity1 45,opacity1 45 webkittransform,,,,
135,,45,45 webkittransform,45 webkittransform scale,,,,
136,,webkittransform,webkittransform scale,webkittransform scale 1,,,,
137,,scale,scale 1,scale 1 transform,,,,
138,,1,1 transform,1 transform scale,,,,
139,,transform,transform scale,transform scale 1,,,,
140,,scale,scale 1,scale 1 opacity,,,,
141,,1,1 opacity,1 opacity 7,,,,
142,,opacity,opacity 7,opacity 7 80,,,,
143,,7,7 80,7 80 webkittransform,,,,
144,,80,80 webkittransform,80 webkittransform scale,,,,
145,,webkittransform,webkittransform scale,webkittransform scale 1,,,,
146,,scale,scale 1,scale 1 transform,,,,
147,,1,1 transform,1 transform scale,,,,
148,,transform,transform scale,transform scale 1,,,,
149,,scale,scale 1,scale 1 opacity1,,,,
150,,1,1 opacity1,1 opacity1 keyframes,,,,
151,,opacity1,opacity1 keyframes,opacity1 keyframes ballpulse,,,,
152,,keyframes,keyframes ballpulse,keyframes ballpulse 0,,,,
153,,ballpulse,ballpulse 0,ballpulse 0 webkittransform,,,,
154,,0,0 webkittransform,0 webkittransform scale,,,,
155,,webkittransform,webkittransform scale,webkittransform scale 1,,,,
156,,scale,scale 1,scale 1 transform,,,,
157,,1,1 transform,1 transform scale,,,,
158,,transform,transform scale,transform scale 1,,,,
159,,scale,scale 1,scale 1 opacity1,,,,
160,,1,1 opacity1,1 opacity1 45,,,,
161,,opacity1,opacity1 45,opacity1 45 webkittransform,,,,
162,,45,45 webkittransform,45 webkittransform scale,,,,
163,,webkittransform,webkittransform scale,webkittransform scale 1,,,,
164,,scale,scale 1,scale 1 transform,,,,
165,,1,1 transform,1 transform scale,,,,
166,,transform,transform scale,transform scale 1,,,,
167,,scale,scale 1,scale 1 opacity,,,,
168,,1,1 opacity,1 opacity 7,,,,
169,,opacity,opacity 7,opacity 7 80,,,,
170,,7,7 80,7 80 webkittransform,,,,
171,,80,80 webkittransform,80 webkittransform scale,,,,
172,,webkittransform,webkittransform scale,webkittransform scale 1,,,,
173,,scale,scale 1,scale 1 transform,,,,
174,,1,1 transform,1 transform scale,,,,
175,,transform,transform scale,transform scale 1,,,,
176,,scale,scale 1,scale 1 opacity1,,,,
177,,1,1 opacity1,1 opacity1 ballcliprotatepulse,,,,
178,,opacity1,opacity1 ballcliprotatepulse,opacity1 ballcliprotatepulse position,,,,
179,,ballcliprotatepulse,ballcliprotatepulse position,ballcliprotatepulse position relative,,,,
180,,position,position relative,position relative webkittransform,,,,
181,,relative,relative webkittransform,relative webkittransform translatey,,,,
182,,webkittransform,webkittransform translatey,webkittransform translatey 15px,,,,
183,,translateY,translatey 15px,translatey 15px translatex,,,,
184,,15px,15px translatex,15px translatex 10px,,,,
185,,translateX,translatex 10px,translatex 10px mstransform,,,,
186,,10px,10px mstransform,10px mstransform translatey,,,,
187,,mstransform,mstransform translatey,mstransform translatey 15px,,,,
188,,translateY,translatey 15px,translatey 15px translatex,,,,
189,,15px,15px translatex,15px translatex 10px,,,,
190,,translateX,translatex 10px,translatex 10px transform,,,,
191,,10px,10px transform,10px transform translatey,,,,
192,,transform,transform translatey,transform translatey 15px,,,,
193,,translateY,translatey 15px,translatey 15px translatex,,,,
194,,15px,15px translatex,15px translatex 10px,,,,
195,,translateX,translatex 10px,translatex 10px display,,,,
196,,10px,10px display,10px display inlineblock,,,,
197,,display,display inlineblock,display inlineblock ballcliprotatepulse,,,,
198,,inlineblock,inlineblock ballcliprotatepulse,inlineblock ballcliprotatepulse div,,,,
199,,ballcliprotatepulse,ballcliprotatepulse div,ballcliprotatepulse div webkitanimationfillmode,,,,
200,,div,div webkitanimationfillmode,div webkitanimationfillmode animationfillmode,,,,
201,,webkitanimationfillmode,webkitanimationfillmode animationfillmode,webkitanimationfillmode animationfillmode position,,,,
202,,animationfillmode,animationfillmode position,animationfillmode position absolute,,,,
203,,position,position absolute,position absolute top0,,,,
204,,absolute,absolute top0,absolute top0 left0,,,,
205,,top0,top0 left0,top0 left0 borderradius100,,,,
206,,left0,left0 borderradius100,left0 borderradius100 ballcliprotatepulse,,,,
207,,borderradius100,borderradius100 ballcliprotatepulse,borderradius100 ballcliprotatepulse div,,,,
208,,ballcliprotatepulse,ballcliprotatepulse div,ballcliprotatepulse div firstchild,,,,
209,,div,div firstchild,div firstchild height36px,,,,
210,,firstchild,firstchild height36px,firstchild height36px width36px,,,,
211,,height36px,height36px width36px,height36px width36px top7px,,,,
212,,width36px,width36px top7px,width36px top7px left,,,,
213,,top7px,top7px left,top7px left 7px,,,,
214,,left,left 7px,left 7px webkitanimation,,,,
215,,7px,7px webkitanimation,7px webkitanimation ballcliprotatepulsescale,,,,
216,,webkitanimation,webkitanimation ballcliprotatepulsescale,webkitanimation ballcliprotatepulsescale 1s,,,,
217,,ballcliprotatepulsescale,ballcliprotatepulsescale 1s,ballcliprotatepulsescale 1s 0s,,,,
218,,1s,1s 0s,1s 0s cubicbezier,,,,
219,,0s,0s cubicbezier,0s cubicbezier 09,,,,
220,,cubicbezier,cubicbezier 09,cubicbezier 09 57,,,,
221,,9,09 57,09 57 49,,,,
222,,57,57 49,57 49 9,,,,
223,,49,49 9,49 9 infinite,,,,
224,,9,9 infinite,9 infinite animation,,,,
225,,infinite,infinite animation,infinite animation ballcliprotatepulsescale,,,,
226,,animation,animation ballcliprotatepulsescale,animation ballcliprotatepulsescale 1s,,,,
227,,ballcliprotatepulsescale,ballcliprotatepulsescale 1s,ballcliprotatepulsescale 1s 0s,,,,
228,,1s,1s 0s,1s 0s cubicbezier,,,,
229,,0s,0s cubicbezier,0s cubicbezier 09,,,,
230,,cubicbezier,cubicbezier 09,cubicbezier 09 57,,,,
231,,9,09 57,09 57 49,,,,
232,,57,57 49,57 49 9,,,,
233,,49,49 9,49 9 infinite,,,,
234,,9,9 infinite,9 infinite ballcliprotatepulse,,,,
235,,infinite,infinite ballcliprotatepulse,infinite ballcliprotatepulse div,,,,
236,,ballcliprotatepulse,ballcliprotatepulse div,ballcliprotatepulse div lastchild,,,,
237,,div,div lastchild,div lastchild position,,,,
238,,lastchild,lastchild position,lastchild position absolute,,,,
239,,position,position absolute,position absolute width50px,,,,
240,,absolute,absolute width50px,absolute width50px height50px,,,,
241,,width50px,width50px height50px,width50px height50px left,,,,
242,,height50px,height50px left,height50px left 16px,,,,
243,,left,left 16px,left 16px top,,,,
244,,16px,16px top,16px top 2px,,,,
245,,top,top 2px,top 2px background0,,,,
246,,2px,2px background0,2px background0 0,,,,
247,,background0,background0 0,background0 0 border2px,,,,
248,,0,0 border2px,0 border2px solid,,,,
249,,border2px,border2px solid,border2px solid webkitanimation,,,,
250,,solid,solid webkitanimation,solid webkitanimation ballcliprotatepulserotate,,,,
251,,webkitanimation,webkitanimation ballcliprotatepulserotate,webkitanimation ballcliprotatepulserotate 1s,,,,
252,,ballcliprotatepulserotate,ballcliprotatepulserotate 1s,ballcliprotatepulserotate 1s 0s,,,,
253,,1s,1s 0s,1s 0s cubicbezier,,,,
254,,0s,0s cubicbezier,0s cubicbezier 09,,,,
255,,cubicbezier,cubicbezier 09,cubicbezier 09 57,,,,
256,,9,09 57,09 57 49,,,,
257,,57,57 49,57 49 9,,,,
258,,49,49 9,49 9 infinite,,,,
259,,9,9 infinite,9 infinite animation,,,,
260,,infinite,infinite animation,infinite animation ballcliprotatepulserotate,,,,
261,,animation,animation ballcliprotatepulserotate,animation ballcliprotatepulserotate 1s,,,,
262,,ballcliprotatepulserotate,ballcliprotatepulserotate 1s,ballcliprotatepulserotate 1s 0s,,,,
263,,1s,1s 0s,1s 0s cubicbezier,,,,
264,,0s,0s cubicbezier,0s cubicbezier 09,,,,
265,,cubicbezier,cubicbezier 09,cubicbezier 09 57,,,,
266,,9,09 57,09 57 49,,,,
267,,57,57 49,57 49 9,,,,
268,,49,49 9,49 9 infinite,,,,
269,,9,9 infinite,9 infinite webkitanimationduration1s,,,,
270,,infinite,infinite webkitanimationduration1s,infinite webkitanimationduration1s animationduration1s,,,,
271,,webkitanimationduration1s,webkitanimationduration1s animationduration1s,webkitanimationduration1s animationduration1s webkitkeyframes,,,,
272,,animationduration1s,animationduration1s webkitkeyframes,animationduration1s webkitkeyframes ballcliprotatepulserotate,,,,
273,,webkitkeyframes,webkitkeyframes ballcliprotatepulserotate,webkitkeyframes ballcliprotatepulserotate 0,,,,
274,,ballcliprotatepulserotate,ballcliprotatepulserotate 0,ballcliprotatepulserotate 0 webkittransform,,,,
275,,0,0 webkittransform,0 webkittransform rotate,,,,
276,,webkittransform,webkittransform rotate,webkittransform rotate 0,,,,
277,,rotate,rotate 0,rotate 0 scale,,,,
